1.211279035095296885e+00	1.268728508185831716e+00	8.908051663309582979e-01	1.460648855164573545e+00	1.274399294391242110e+00	1.608597711009002396e+00	1.312061742290241639e+00	2.743366625468337094e+00	-9.306899705661042521e-02
9.015156457929096590e-01	1.117940094938200124e+00	1.057821681295405547e+00	1.998374826461204457e-01	2.223403832311889872e+00	2.968020769710195683e+00	9.159614477983539782e-01	1.891927674180202912e+00	-2.725825343452934479e-01
2.072194205542836620e+00	1.620389996748487160e+00	2.380667986147218862e+00	1.206339486874974165e+00	2.071604142581463748e+00	1.597126876186149236e+00	1.772290780559561352e+00	1.434207433254135911e+00	1.600895763719942799e-01
1.769385372870275530e+00	3.307656864652950279e-01	1.785447095606029988e+00	9.151830147655917180e-01	1.226984807991815307e+00	2.166526139538242024e+00	2.123640439147494785e+00	2.135154273988662421e+00	-2.111666315218087009e-01
1.622176512834910600e+00	1.576472537111789585e+00	1.880623054155806662e+00	1.351800942051436083e+00	1.156405394061018388e+00	2.079932620096631268e+00	2.546664353056598884e+00	2.408645639856478837e+00	4.339840039973739128e-01
2.342661640711444448e+00	7.654369367614066721e-01	1.475549953674625936e+00	8.760008203928904003e-01	2.547111342666951384e+00	1.910143834261940121e+00	2.124060476629394678e+00	5.391115740977068249e-01	-4.786357261212278447e-01
1.879830107008205964e+00	1.980381316690455806e+00	1.522924967528254570e+00	1.479300214568540550e+00	2.076695335191588221e+00	1.540953147512682531e+00	1.722546481921279238e+00	1.528467638653119964e+00	1.342612858884824067e-01
9.408372620311393764e-01	1.607163641055922465e+00	2.291582571694897208e+00	6.028655938795480784e-01	2.246524900835823235e+00	2.043686802430228155e+00	2.019781739817228416e+00	2.772763484237930953e+00	4.431475986045445570e-01
1.905249014597973467e+00	1.754165519224343051e+00	2.094666511607981008e+00	1.520503996749808628e+00	1.604118910580030866e+00	7.629275477543802086e-01	1.824708350808120327e+00	1.657305436854119574e+00	3.394355468621945704e-02
1.269148817368668247e+00	0.000000000000000000e+00	6.282435376661446025e-01	1.736483790025248553e+00	2.136151171643442481e+00	2.051515991641259973e+00	1.130495100514132822e+00	1.488644004728300052e+00	-6.646661971760070564e-01
